Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Years
208,Aldrick Robinson,SFO,29,WR,16,1,48,19,39.60%,260,13.7,2,12,45,5.4,1.2,16.3,0,2017
227,Aldrick Robinson,MIN,30,WR,14,0,35,17,48.60%,231,13.6,5,12,40,6.6,1.2,16.5,0,2018
103,Alec Pierce,IND,22,WR,16,12,78,41,52.60%,593,14.5,2,28,47,7.6,2.6,37.1,1,2022
307,Alex Bannister,SEA,22,WR,16,0,7,4,57.10%,50,12.5,0,3,17,7.1,0.3,3.1,0,2001
401,Alex Bannister,SEA,23,WR,16,1,1,0,0.00%,0,,0,0,0,0,0,0,0,2002
367,Alex Bannister,SEA,25,WR,7,1,3,2,66.70%,10,5,0,0,8,3.3,0.3,1.4,0,2004
430,Alex Bannister,SEA,26,WR,2,0,1,0,0.00%,0,,0,0,0,0,0,0,,2005
337,Alex Bannister*,SEA,24,WR,16,2,12,3,25.00%,61,20.3,1,3,31,5.1,0.2,3.8,0,2003
324,Alex Erickson,CIN,24,WR,16,0,8,6,75.00%,71,11.8,0,3,20,8.9,0.4,4.4,3,2016
257,Alex Erickson,CIN,25,WR,16,0,16,12,75.00%,180,15,1,9,37,11.3,0.8,11.3,7,2017
204,Alex Erickson,CIN,26,WR,16,6,29,20,69.00%,167,8.4,0,7,28,5.8,1.3,10.4,1,2018
91,Alex Erickson,CIN,27,WR,16,6,78,43,55.10%,529,12.3,0,26,52,6.8,2.7,33.1,4,2019
270,Alex Erickson,CIN,28,WR,16,2,17,12,70.60%,139,11.6,0,5,42,8.2,0.8,8.7,2,2020
397,Alex Erickson,CAR,29,WR,17,0,4,3,75.00%,55,18.3,0,2,25,13.8,0.2,3.2,0,2021
399,Alex Van Dyke,PHI,26,WR,4,0,4,1,25.00%,8,8,0,1,8,2,0.3,2,0,2000
411,Alexander Hollins,MIN,23,WR,5,1,4,2,50.00%,46,23,0,2,35,11.5,0.4,9.2,0,2019
77,Allen Hurns,JAX,23,WR,16,8,97,51,52.60%,677,13.3,6,26,63,7,3.2,42.3,0,2014
45,Allen Hurns,JAX,24,WR,15,15,105,64,61.00%,1031,16.1,10,49,80,9.8,4.3,68.7,2,2015
130,Allen Hurns,JAX,25,WR,11,11,76,35,46.10%,477,13.6,3,23,42,6.3,3.2,43.4,1,2016
