Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Years
323,Anthony Becht,TAM,30,TE,16,2,7,5,71.40%,20,4,2,2,9,2.9,0.3,1.3,0,2007
297,Anthony Becht,STL,31,TE,16,11,11,6,54.50%,39,6.5,0,1,11,3.5,0.4,2.4,0,2008
283,Anthony Becht,ARI,32,TE,16,10,12,7,58.30%,61,8.7,1,4,16,5.1,0.4,3.8,1,2009
352,Anthony Becht,KAN,34,TE,9,5,4,3,75.00%,26,8.7,0,2,16,6.5,0.3,2.9,0,2011
222,Anthony Fasano,DAL,22,TE,16,5,24,14,58.30%,126,9,0,4,22,5.3,0.9,7.9,0,2006
227,Anthony Fasano,DAL,23,TE,16,5,21,14,66.70%,143,10.2,1,7,26,6.8,0.9,8.9,0,2007
113,Anthony Fasano,MIA,24,TE,16,16,53,34,64.20%,454,13.4,7,26,24,8.6,2.1,28.4,0,2008
131,Anthony Fasano,MIA,25,TE,14,14,53,31,58.50%,339,10.9,2,21,27,6.4,2.2,24.2,2,2009
110,Anthony Fasano,MIA,26,TE,15,15,60,39,65.00%,528,13.5,4,29,31,8.8,2.6,35.2,0,2010
129,Anthony Fasano,MIA,27,TE,15,15,54,32,59.30%,451,14.1,5,25,35,8.4,2.1,30.1,0,2011
106,Anthony Fasano,MIA,28,TE,16,16,69,41,59.40%,332,8.1,5,18,22,4.8,2.6,20.8,0,2012
